"study","outcome.variable","outcome.name","outcome.min","outcome.max","condition.name","n_total","n","mean","sd"
"HamiltonS31","HamiltonS31.Q1A1","belief_man_first",1,2,"RAPE LANGUAGE",176,90,1.85555555555556,0.353509248837612
"HamiltonS31","HamiltonS31.Q1A1","belief_man_first",1,2,"SOFT DENIAL",195,100,1.76,0.429234695990928
"HamiltonS31","HamiltonS31.Q1A1","belief_man_first",1,2,"WOMAN ACCUSER",194,100,1.84,0.368452949177471
"KrupnikovS34","KrupnikovS34.Q51","partisanship",1,7,"Feel",1009,998,3.65931863727455,2.02000236766432
"KrupnikovS34","KrupnikovS34.Q51","partisanship",1,7,"Think",996,988,3.67105263157895,2.0475829290484
"Melin1066","Melin1066.Q11","salary",35000,225000,"“Cosmetics/Automotive”",275,265,77231.2754716981,31710.0050410015
"Melin1066","Melin1066.Q11","salary",35000,225000,"“Cosmetics/Consulting”",298,282,79538.3581560284,33200.4712165262
"Melin1066","Melin1066.Q11","salary",35000,225000,"“Cosmetics/Wedding”",262,240,74715.2291666667,29698.8994028776
"Melin1066","Melin1066.Q11","salary",35000,225000,"“Military/Automotive”",274,263,87051.752851711,33494.7144003243
"Melin1066","Melin1066.Q11","salary",35000,225000,"“Military/Consulting”",271,260,88523.5230769231,35865.8528560542
"Melin1066","Melin1066.Q11","salary",35000,225000,"“Military/Wedding”",302,287,77647.4285714286,32290.8489426117
"Melin1066","Melin1066.Q4_12","Capable",1,7,"“Cosmetics/Automotive”",275,275,5.27272727272727,1.17228558113735
"Melin1066","Melin1066.Q4_12","Capable",1,7,"“Cosmetics/Consulting”",298,297,5.34343434343434,1.09817061788171
"Melin1066","Melin1066.Q4_12","Capable",1,7,"“Cosmetics/Wedding”",262,262,5.29770992366412,1.10861935805333
"Melin1066","Melin1066.Q4_12","Capable",1,7,"“Military/Automotive”",274,273,5.88278388278388,0.8916464534638
"Melin1066","Melin1066.Q4_12","Capable",1,7,"“Military/Consulting”",271,270,5.73333333333333,1.12557296437915
"Melin1066","Melin1066.Q4_12","Capable",1,7,"“Military/Wedding”",302,300,5.54333333333333,1.14271967241371
"Melin1066","Melin1066.Q7_13","masculine",1,7,"“Cosmetics/Automotive”",275,261,2.83908045977011,1.58021588022545
"Melin1066","Melin1066.Q7_13","masculine",1,7,"“Cosmetics/Consulting”",298,284,2.63380281690141,1.57264097039306
"Melin1066","Melin1066.Q7_13","masculine",1,7,"“Cosmetics/Wedding”",262,244,2.66393442622951,1.48579366350015
"Melin1066","Melin1066.Q7_13","masculine",1,7,"“Military/Automotive”",274,263,3.67680608365019,1.77291810722455
"Melin1066","Melin1066.Q7_13","masculine",1,7,"“Military/Consulting”",271,261,3.46743295019157,1.75298995134755
"Melin1066","Melin1066.Q7_13","masculine",1,7,"“Military/Wedding”",302,292,3.59931506849315,1.6204448320308
"Silverman1035","Silverman1035.Q31","Americans_Killed",1,3,"Control group: No Corrective Information",262,260,1.29615384615385,0.513133134094469
"Silverman1035","Silverman1035.Q31","Americans_Killed",1,3,"Treatment 1: Corrective Information, No Elite Endorsement",263,262,1.09160305343511,0.314414414754159
"Silverman1035","Silverman1035.Q31","Americans_Killed",1,3,"Treatment 2: Corrective Information, Democratic Endorsement",278,276,1.14855072463768,0.430261739747311
"Silverman1035","Silverman1035.Q31","Americans_Killed",1,3,"Treatment 3: Corrective Information, Republican Endorsement",277,277,1.14440433212996,0.434990532608959
"Silverman1035","Silverman1035.Q31","Americans_Killed",1,3,"Treatment 4: Corrective Information, Military Endorsement",260,258,1.16666666666667,0.457676985533357
"Silverman1035","Silverman1035.Q42","Terrorism_worry",1,4,"Control group: No Corrective Information",262,256,2.8203125,0.885026586506603
"Silverman1035","Silverman1035.Q42","Terrorism_worry",1,4,"Treatment 1: Corrective Information, No Elite Endorsement",263,259,2.91891891891892,0.790685350096828
"Silverman1035","Silverman1035.Q42","Terrorism_worry",1,4,"Treatment 2: Corrective Information, Democratic Endorsement",278,274,2.97445255474453,0.7910237440651
"Silverman1035","Silverman1035.Q42","Terrorism_worry",1,4,"Treatment 3: Corrective Information, Republican Endorsement",277,274,3.0036496350365,0.782117793618777
"Silverman1035","Silverman1035.Q42","Terrorism_worry",1,4,"Treatment 4: Corrective Information, Military Endorsement",260,258,2.94186046511628,0.873580910341681
"Silverman1035","Silverman1035.Q53","Terrorism_likely",1,4,"Control group: No Corrective Information",262,250,2.068,0.775746822442814
"Silverman1035","Silverman1035.Q53","Terrorism_likely",1,4,"Treatment 1: Corrective Information, No Elite Endorsement",263,253,2.1699604743083,0.73918579082133
"Silverman1035","Silverman1035.Q53","Terrorism_likely",1,4,"Treatment 2: Corrective Information, Democratic Endorsement",278,273,2.16483516483517,0.856597273034798
"Silverman1035","Silverman1035.Q53","Terrorism_likely",1,4,"Treatment 3: Corrective Information, Republican Endorsement",277,270,2.14814814814815,0.766574173254387
"Silverman1035","Silverman1035.Q53","Terrorism_likely",1,4,"Treatment 4: Corrective Information, Military Endorsement",260,249,2.0281124497992,0.692130921943607
"HankinsonS22","HankinsonS22.Q21","Clinic_support",1,5,"Far Treatment",1024,1020,2.65686274509804,1.32608093216438
"HankinsonS22","HankinsonS22.Q21","Clinic_support",1,5,"Near Treatment",984,980,3.08163265306123,1.39438146898806
"Harbridge-Yong1032","Harbridge-Yong1032.Q21","Confidence_congress",1,5,"Dem Majority - Control",257,256,2.28125,0.771425977794167
"Harbridge-Yong1032","Harbridge-Yong1032.Q21","Confidence_congress",1,5,"Dem Majority -Bipartisan",236,234,2.10683760683761,0.764920427932818
"Harbridge-Yong1032","Harbridge-Yong1032.Q21","Confidence_congress",1,5,"Dem Majority -Minority",247,246,2.23983739837398,0.758219163555899
"Harbridge-Yong1032","Harbridge-Yong1032.Q21","Confidence_congress",1,5,"GOP Majority - Control",252,252,2.23412698412698,0.760547370343155
"Harbridge-Yong1032","Harbridge-Yong1032.Q21","Confidence_congress",1,5,"GOP Majority -Bipartisan Gas Tax",294,293,2.16382252559727,0.819573307734663
"Harbridge-Yong1032","Harbridge-Yong1032.Q21","Confidence_congress",1,5,"GOP Majority -Bipartisan Green Energy",247,247,2.10931174089069,0.878951201962143
"Harbridge-Yong1032","Harbridge-Yong1032.Q21","Confidence_congress",1,5,"GOP Majority -Minority Gas Tax",264,264,2.10227272727273,0.780559018659565
"Harbridge-Yong1032","Harbridge-Yong1032.Q21","Confidence_congress",1,5,"GOP Majority -Minority Green Energy",262,262,2.16412213740458,0.825695453053898
"Harbridge-Yong1032","Harbridge-Yong1032.Q32","Article_Support",1,7,"Dem Majority - Control",257,256,5.19921875,1.64833825263446
"Harbridge-Yong1032","Harbridge-Yong1032.Q32","Article_Support",1,7,"Dem Majority -Bipartisan",236,235,4.5531914893617,1.53879338119604
"Harbridge-Yong1032","Harbridge-Yong1032.Q32","Article_Support",1,7,"Dem Majority -Minority",247,246,4.47560975609756,1.72774910609692
"Harbridge-Yong1032","Harbridge-Yong1032.Q32","Article_Support",1,7,"GOP Majority - Control",252,251,4.04780876494024,1.76796639653667
"Harbridge-Yong1032","Harbridge-Yong1032.Q32","Article_Support",1,7,"GOP Majority -Bipartisan Gas Tax",294,291,3.5360824742268,1.66129481493805
"Harbridge-Yong1032","Harbridge-Yong1032.Q32","Article_Support",1,7,"GOP Majority -Bipartisan Green Energy",247,247,3.61943319838057,1.82599423930713
"Harbridge-Yong1032","Harbridge-Yong1032.Q32","Article_Support",1,7,"GOP Majority -Minority Gas Tax",264,264,3.70454545454545,1.81978411941418
"Harbridge-Yong1032","Harbridge-Yong1032.Q32","Article_Support",1,7,"GOP Majority -Minority Green Energy",262,262,3.40076335877863,1.77781113785201
"Harbridge-Yong1032","Harbridge-Yong1032.Q43","Article_Fairness",1,7,"Dem Majority - Control",257,256,4.2265625,1.49096543929645
"Harbridge-Yong1032","Harbridge-Yong1032.Q43","Article_Fairness",1,7,"Dem Majority -Bipartisan",236,232,3.42241379310345,1.61513867400268
"Harbridge-Yong1032","Harbridge-Yong1032.Q43","Article_Fairness",1,7,"Dem Majority -Minority",247,245,3.46938775510204,1.56422663047552
"Harbridge-Yong1032","Harbridge-Yong1032.Q43","Article_Fairness",1,7,"GOP Majority - Control",252,251,3.9203187250996,1.55229684596986
"Harbridge-Yong1032","Harbridge-Yong1032.Q43","Article_Fairness",1,7,"GOP Majority -Bipartisan Gas Tax",294,293,3.14334470989761,1.59190968520097
